1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1979-2000 mean,plus 2σ,minus 2σ
12.311,12.341,12.806,12.19,12.3,12.133,12.236,12.32,12.076,12.572,12.107,12.574,12.478,12.404,12.358,12.332,12.864,12.471,12.38,12.461,12.432,12.568,12.57,13.021,12.609,13.109,12.852,12.952,13.061,12.491,12.99,12.756,12.407,12.754,12.531,12.601,12.598,13.231,13.159,12.815,12.854,13.08,12.799,12.931,13.143,12.413,12.86,11.97
12.293,12.278,12.968,12.126,12.229,12.259,12.296,12.309,12.049,12.646,12.108,12.526,12.423,12.395,12.378,12.411,12.831,12.468,12.493,12.542,12.431,12.543,12.564,12.95,12.686,13.107,12.969,12.992,13.041,12.427,12.917,12.734,12.422,12.684,12.525,12.597,12.607,13.218,13.159,12.819,12.875,13.15,12.794,12.934,13.14,12.394,12.84,11.94
12.274,12.191,12.768,12.08,12.179,12.313,12.283,12.257,11.978,12.706,12.093,12.494,12.349,12.443,12.357,12.433,12.809,12.404,12.542,12.607,12.435,12.434,12.567,12.933,12.801,13.101,13.035,12.955,13.052,12.383,12.876,12.769,12.422,12.684,12.513,12.567,12.635,13.192,13.097,12.816,12.918,13.123,12.813,12.92,13.111,12.38,12.81,11.95
12.23,12.093,12.763,12.064,12.228,12.377,12.322,12.236,11.984,12.751,12.048,12.471,12.3,12.469,12.344,12.385,12.743,12.261,12.47,12.642,12.416,12.373,12.626,12.949,12.839,13.054,13.03,12.931,13.123,12.43,12.858,12.772,12.433,12.627,12.58,12.508,12.663,13.196,13.013,12.812,12.932,13.096,12.84,12.906,13.031,12.37,12.82,11.92
12.273,12.104,12.765,12.005,12.282,12.453,12.334,12.253,12.018,12.817,12.017,12.406,12.255,12.528,12.273,12.346,12.604,12.236,12.384,12.637,12.368,12.314,12.661,12.95,12.922,12.937,13.037,12.896,13.148,12.566,12.88,12.718,12.43,12.65,12.592,12.505,12.646,13.191,12.848,12.79,12.857,13.052,12.823,12.932,12.97,12.354,12.79,11.91
12.299,12.122,12.996,11.964,12.323,12.441,12.287,12.265,12.044,12.785,12.076,12.333,12.209,12.511,12.247,12.343,12.527,12.271,12.323,12.581,12.363,12.309,12.888,13.02,12.985,12.824,13.002,12.851,13.079,12.629,12.895,12.706,12.45,12.667,12.54,12.484,12.601,13.241,12.728,12.829,12.811,13.043,12.839,12.967,12.971,12.341,12.77,11.91
12.214,12.14,12.788,11.932,12.353,12.36,12.312,12.247,12.077,12.803,12.13,12.299,12.227,12.455,12.243,12.333,12.534,12.315,12.266,12.515,12.378,12.346,12.737,12.993,13.013,12.668,13.041,12.851,13.005,12.653,12.866,12.658,12.485,12.613,12.537,12.476,12.513,13.281,12.586,12.889,12.75,13.102,12.866,12.972,12.976,12.332,12.74,11.92
12.237,12.194,12.677,11.92,12.399,12.231,12.392,12.17,12.09,12.756,12.102,12.286,12.27,12.427,12.238,12.303,12.524,12.276,12.205,12.502,12.354,12.408,12.72,12.992,13.046,12.582,13.027,12.848,12.956,12.589,12.815,12.62,12.487,12.548,12.542,12.519,12.421,13.275,12.561,12.965,12.694,13.14,12.919,12.991,12.964,12.33,12.73,11.93
12.222,12.273,12.669,12.03,12.366,12.189,12.469,12.221,12.058,12.75,12.077,12.302,12.289,12.368,12.169,12.265,12.471,12.366,12.173,12.468,12.322,12.45,12.721,13.113,13.043,12.656,13.04,12.824,13.004,12.542,12.752,12.634,12.429,12.513,12.581,12.613,12.446,13.217,12.637,12.943,12.655,13.123,12.97,12.997,12.94,12.329,12.7,11.96
12.226,12.307,12.712,12.013,12.386,12.212,12.484,12.517,12.081,12.7,12.083,12.306,12.318,12.321,12.163,12.329,12.364,12.449,12.233,12.43,12.318,12.516,12.635,13.287,12.948,12.735,13.061,12.807,13.045,12.532,12.653,12.636,12.382,12.469,12.593,12.678,12.516,13.222,12.695,12.913,12.625,13.059,12.953,12.967,12.902,12.333,12.69,11.98
12.198,12.313,12.693,11.957,12.374,12.177,12.423,12.507,12.137,12.664,12.127,12.399,12.37,12.326,12.278,12.346,12.371,12.434,12.249,12.448,12.262,12.509,12.581,13.303,12.824,12.799,13.074,12.815,13.075,12.46,12.645,12.628,12.335,12.361,12.546,12.742,12.599,13.253,12.731,12.856,12.664,13.041,12.885,13.004,12.875,12.338,12.69,11.99
12.243,12.306,12.712,11.951,12.338,12.196,12.335,12.439,12.256,12.706,12.164,12.418,12.423,12.381,12.331,12.358,12.38,12.318,12.224,12.341,12.303,12.607,12.615,13.174,12.827,12.806,13.054,12.827,13.075,12.407,12.724,12.628,12.324,12.287,12.516,12.736,12.671,13.304,12.791,12.744,12.757,13.088,12.856,13.072,12.875,12.339,12.68,11.99
12.251,12.4,12.74,11.974,12.287,12.179,12.277,12.336,12.352,12.678,12.163,12.36,12.443,12.417,12.398,12.292,12.362,12.281,12.148,12.265,12.417,12.413,12.64,13.064,12.901,12.79,13.033,12.841,13.109,12.352,12.776,12.637,12.364,12.298,12.539,12.773,12.703,13.242,12.677,12.659,12.858,13.163,12.865,13.1,12.792,12.335,12.69,11.98
12.22,12.515,12.791,11.953,12.221,12.25,12.253,12.306,12.411,12.607,12.148,12.273,12.408,12.321,12.417,12.21,12.394,12.208,12.176,12.215,12.493,12.268,12.621,12.968,12.92,12.761,13.009,12.807,13.116,12.295,12.814,12.787,12.412,12.34,12.521,12.768,12.773,13.197,12.649,12.64,12.879,13.208,12.863,13.128,12.71,12.336,12.72,11.95
12.196,12.613,12.763,11.904,12.225,12.278,12.262,12.322,12.452,12.564,12.108,12.291,12.339,12.283,12.49,12.096,12.44,12.14,12.243,12.215,12.643,12.203,12.67,12.885,12.942,12.802,12.94,12.721,13.034,12.346,12.832,12.897,12.377,12.379,12.523,12.733,12.838,13.191,12.742,12.681,12.867,13.197,12.843,13.038,12.679,12.337,12.76,11.92
12.216,12.897,12.789,11.902,12.251,12.28,12.199,12.326,12.478,12.666,12.075,12.396,12.38,12.326,12.499,11.959,12.446,12.083,12.294,12.261,12.742,12.174,12.726,12.821,12.964,12.783,12.92,12.654,12.981,12.311,12.903,12.919,12.362,12.41,12.544,12.683,12.857,13.103,12.765,12.762,12.871,13.195,12.881,12.964,12.775,12.343,12.8,11.89
12.318,12.765,12.797,11.868,12.374,12.319,12.191,12.38,12.499,12.689,12.066,12.426,12.422,12.348,12.406,11.992,12.436,12.097,12.26,12.266,12.797,12.193,12.744,12.78,13.003,12.732,12.896,12.621,12.982,12.317,12.997,12.948,12.35,12.383,12.508,12.688,12.811,13.018,12.849,12.852,12.862,13.184,12.823,12.934,12.824,12.351,12.82,11.88
